"SN","Source","Region","Country","Country_ID","ISO2","ISO3","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","LocationName","Longitude","Latitude","LocationType","Georeliability","Year_MDA1","N_MDA","Baseline_Prev","SurveyYear","Period","SurveyMonth","Passage","Method_0","Method_1","Method_2","Age_start","Age_end","Examined","Positive","Prevalence","CMFL","Vector_spp","Perc_PoolPositive","SourceOrigen","Funding","Composite_IU_ID"
"15625","AFRO","Western Africa","Ghana","20","GH","GHA","CENTRAL","2163","ASSIN NORTH","21442","Assin North","21442","ANWIAM","-1.4504300000000001","5.8105900000000004","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"290.0","40.0","0.13793103400000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216321442"
"15626","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","OFFINSO NORTH","21403","Offinso North","21403","Apenteng","-1.7799444","7.2466666999999996","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"123.0","1.0","8.1300810000000008E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216121403"
"15627","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"1975","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"224.0","136.0","0.60714285700000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15628","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"1978","Before 2001","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"289.0","162.0","0.56055363300000005",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15629","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"1983","Before 2001","March","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"137.0","52.0","0.37956204399999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15630","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"1986","Before 2001","February","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","20.0","0.15037594000000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15631","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"1989","Before 2001","January","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"101.0","1.0","9.9009900000000001E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15632","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"1993","Before 2001","February","6","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"80.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15633","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"2002","2001 - 2005","December","7","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"102.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15634","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BAWKU WEST","21531","Bawku West","21531","APODABOGO","-0.45245000000000002","10.71846","Village","1",null,null,null,"2010","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"192.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721531"
"15635","AFRO","Western Africa","Ghana","20","GH","GHA","EASTERN","2164","BIRIM SOUTH","21466","Birim South","21466","Apoli Beposo","-1.1763889000000001","5.9491667000000001","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"88.0","11.0","0.125",null,"",null,"APOC","APOC Trust Fund","AGHA0216421466"
"15636","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ASANTE AKIM SOUTH","21387","Asante Akim South","21387","Apragya","-1.0171667","6.4375","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"120.0","50.0","0.41666666699999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216121387"
"15637","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","NKORANZA SOUTH","21424","Nkoranza South","21424","APRUWASO","-1.46","7.5599999999999996","Village","1",null,null,null,"1995","Before 2001","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"45.0","16.0","0.35555555599999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216221424"
"15638","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","NKORANZA SOUTH","21424","Nkoranza South","21424","APRUWASO","-1.46","7.5599999999999996","Village","1",null,null,null,"2000","Before 2001","May","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"41.0","5.0","0.12195122",null,"",null,"APOC","APOC Trust Fund","AGHA0216221424"
"15639","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA NWABIAGYA","21392","Atwima Nwabiagya","21392","Asakraka","-1.8158167000000001","6.7541500000000001","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"195.0","1.0","5.1282050000000003E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216121392"
"15640","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA NWABIAGYA","21392","Atwima Nwabiagya","21392","ASAKRAKA","-1.8168800000000001","6.7535999999999996","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"181.0","8.0","4.4198895000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121392"
"15641","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA NWABIAGYA","21392","Atwima Nwabiagya","21392","ASAKRAKA","-1.8168800000000001","6.7535999999999996","Village","1",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"195.0","1.0","5.1282050000000003E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216121392"
"15642","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KADJEBI","21566","Kadjebi","21566","ASANTE AKURA","0.47999999999999998","7.9000000000000004","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"61.0","44.0","0.72131147500000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216921566"
"15643","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SEFWI WIAWSO","21595","Sefwi Wiawso","21595","Asantekrom","-2.5722792000000001","6.0568112999999997","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"164.0","11.0","6.7073171000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0217021595"
"15644","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","AMANSIE WEST","21385","Amansie West","21385","Asarekrom","-1.8068200000000001","6.49885","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"83.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216121385"
"15645","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SEFWI WIAWSO","21595","Sefwi Wiawso","21595","ASAWINSO","-2.7067089000000002","6.4234469000000001","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"311.0","49.0","0.15755627",null,"",null,"APOC","APOC Trust Fund","AGHA0217021595"
"15646","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SEFWI WIAWSO","21595","Sefwi Wiawso","21595","ASAWINSO","-2.7067089000000002","6.4234469000000001","Village","1",null,null,null,"2001","2001 - 2005","May","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"159.0","3.0","1.8867925000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0217021595"
"15647","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BONGO","21534","Bongo","21534","ASEBUGA","-0.74148000000000003","10.918060000000001","Village","1",null,null,null,"1975","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"117.0","72.0","0.61538461499999997",null,"",null,"APOC","APOC Trust Fund","AGHA0216721534"
"15648","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BONGO","21534","Bongo","21534","ASEBUGA","-0.74148000000000003","10.918060000000001","Village","1",null,null,null,"1995","Before 2001","May","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"127.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721534"
